sch_mf_chwp_handle,sch_mf_cwp_handle,sch_tchw_handle,sch_tcw_handle
0.964,0.7,5.3,31.7
0.964,0.7,5.3,31.7
0.966,0.7,5.3,31.7
0.966,0.7,5.4,31.7
0.966,0.7,5.8,31.7
0.968,0.7,5.8,31.9
0.968,0.7,5.6,32
0.968,0.7,5.3,32
0.966,0.7,5.1,32
0.966,0.7,5,31.9
0.966,0.7,5.1,31.9
0.966,0.7,5.1,31.7
0.966,0.7,5.3,31.7
0.966,0.7,5.4,31.7
0.966,0.7,5.6,31.7
0.964,0.7,5.6,31.7
0.966,0.7,5.6,31.7
0.964,0.7,5.6,31.7
0.964,0.7,5.4,31.5
0.966,0.7,5.4,31.5
0.964,0.7,5.4,31.5
0.964,0.7,5.4,31.5
0.964,0.7,5.4,31.5
0.966,0.7,5.6,31.5
0.966,0.7,5.6,31.5
0.966,0.7,5.6,31.5
0.964,0.7,5.6,31.5
0.964,0.7,5.6,31.5
0.966,0.7,5.4,31.5
0.964,0.7,5.3,31.5
0.964,0.7,5.3,31.5
0.964,0.7,5.3,31.5
0.966,0.7,5.3,31.5
0.964,0.7,5.4,31.5
0.966,0.7,5.6,31.5
0.964,0.7,5.6,31.5
0.964,0.7,5.6,31.5
0.964,0.7,5.6,31.5
0.964,0.7,5.6,31.7
0.964,0.7,5.4,31.5
0.964,0.7,5.3,31.5
0.964,0.7,5.1,31.4
0.964,0.7,5.3,31.4
0.964,0.7,5.4,31.4
0.964,0.7,5.4,31.4
0.964,0.7,5.6,31.4
0.964,0.7,5.8,31.4
0.968,0.7,5.8,31.5
0.966,0.7,5.4,31.5
0.966,0.7,5.3,31.5
0.966,0.7,5.1,31.5
0.966,0.7,5,31.5
0.964,0.7,5.1,31.4
0.964,0.7,5.1,31.4
0.964,0.7,5.3,31.4
0.964,0.7,5.6,31.4
0.964,0.7,5.6,31.4
0.964,0.7,5.6,31.5
0.966,0.7,5.3,31.7
0.964,0.7,5.1,31.9
0.964,0.7,5,31.9
0.964,0.7,5.1,31.9
0.966,0.7,5.3,31.7
0.964,0.7,5.4,31.7
0.966,0.7,5.4,31.7
0.964,0.7,5.6,31.7
0.966,0.7,5.6,31.7
0.966,0.7,5.8,31.7
0.966,0.7,5.6,31.7
0.966,0.7,5.4,31.9
0.966,0.7,5.3,31.9
0.966,0.7,5.1,31.9
0.966,0.7,5.1,31.7
0.964,0.7,5.3,31.7
0.964,0.7,5.3,31.7
0.964,0.7,5.3,31.7
0.964,0.7,5.3,31.7
0.966,0.7,5.6,31.7
0.964,0.7,5.6,31.7
0.966,0.7,5.6,31.7
0.964,0.7,5.6,31.7
0.964,0.7,5.4,31.7
0.966,0.7,5.3,31.5
0.964,0.7,5.3,31.5
0.962,0.7,5.1,31.5
0.964,0.7,5.3,31.4
0.964,0.7,5.4,31.4
0.964,0.7,5.6,31.4
0.964,0.7,5.8,31.5
0.966,0.7,5.6,31.5
0.964,0.7,5.6,31.5
0.964,0.7,5.4,31.5
0.966,0.7,5.3,31.5
0.964,0.7,5.3,31.5
0.964,0.7,5.3,31.5
0.966,0.7,5.3,31.5
0.964,0.7,5.3,31.5
0.964,0.7,5.4,31.5
0.964,0.7,5.6,31.5
0.966,0.7,5.6,31.5
0.964,0.7,5.4,31.5
0.964,0.7,5.4,31.5
0.964,0.7,5.3,31.5
0.964,0.7,5.3,31.5
0.964,0.7,5.3,31.5
0.964,0.7,5.3,31.5
0.964,0.7,5.3,31.5
0.964,0.7,5.4,31.5
0.964,0.7,5.6,31.5
0.964,0.7,5.6,31.5
0.964,0.7,5.6,31.5
0.964,0.7,5.6,31.5
0.964,0.7,5.4,31.5
0.964,0.7,5.4,31.5
0.964,0.7,5.3,31.5
0.964,0.7,5.1,31.4
0.964,0.7,5.3,31.4
0.964,0.7,5.3,31.4
0.964,0.7,5.3,31.4
0.964,0.7,5.4,31.4
0.964,0.7,5.6,31.4
0.964,0.7,5.6,31.5
0.964,0.7,5.6,31.5
0.964,0.7,5.6,31.4
0.964,0.7,5.4,31.4
0.964,0.7,5.3,31.4
0.964,0.7,5.3,31.4
0.962,0.7,5.1,31.4
0.962,0.7,5.1,31.4
0.962,0.7,5.3,31.4
0.964,0.7,5.4,31.4
0.964,0.7,5.8,31.4
0.964,0.7,5.8,31.4
0.964,0.7,5.6,31.5
0.964,0.7,5.4,31.5
0.964,0.7,5.3,31.5
0.964,0.7,5.3,31.5
0.964,0.7,5.3,31.5
0.964,0.7,5.3,31.5
0.964,0.7,5.3,31.4
0.964,0.7,5.4,31.4
0.964,0.7,5.6,31.4
0.966,0.7,5.8,31.5
0.966,0.7,5.6,31.5
0.966,0.7,5.4,31.7
0.968,0.7,5.3,31.7
0.964,0.7,5.1,31.7
0.964,0.7,5.1,31.7
0.966,0.7,5.3,31.7
0.964,0.7,5.3,31.7
0.966,0.7,5.3,31.7
0.966,0.7,5.4,31.7
0.966,0.7,5.6,31.9
0.966,0.7,5.6,31.9
0.962,0.7,5.4,32
0.966,0.7,5.3,32.2
0.966,0.7,5,32.2
0.964,0.7,5,32.2
0.966,0.7,5.3,32.2
0.966,0.7,5.4,32.2
0.966,0.7,5.6,32.2
0.966,0.7,5.4,32
0.966,0.7,5.6,32
0.966,0.7,5.8,32
0.968,0.7,5.8,32
0.968,0.7,5.6,32.2
0.968,0.7,5.6,32.2
0.968,0.7,5.8,32.3
0.97,0.7,5.8,32.3
0.97,0.7,5.6,32.3
0.97,0.7,5.6,32.3
0.97,0.7,5.6,32.5
0.97,0.7,5.8,32.5
0.972,0.7,5.9,32.7
0.972,0.7,5.8,32.8
0.972,0.712,5.4,33
0.972,0.728,5.4,33.2
0.972,0.74,5.3,33.2
0.97,0.75,5.3,33.2
0.972,0.758,5.3,33.2
0.972,0.76,5.3,33.2
0.972,0.76,5.4,33.2
0.972,0.762,5.4,33.2
0.972,0.764,5.4,33.3
0.972,0.766,5.8,33.3
0.972,0.768,5.8,33.3
0.974,0.772,5.6,33.5
0.974,0.782,5.4,33.6
0.974,0.79,5.3,33.6
0.972,0.792,5.1,33.5
0.972,0.792,5.1,33.5
0.972,0.792,5.1,33.5
0.974,0.792,5.1,33.5
0.974,0.792,5.3,33.5
0.974,0.792,5.3,33.5
0.974,0.794,5.4,33.6
0.974,0.794,5.4,33.6
0.974,0.794,5.3,33.6
0.974,0.794,5.3,33.6
0.974,0.794,5.1,33.8
0.974,0.794,5,33.6
0.972,0.788,5,33.6
0.97,0.786,5,33.6
0.97,0.778,5.3,33.5
0.97,0.77,5.6,33.5
0.972,0.764,5.6,33.5
0.97,0.762,5.8,33.5
0.972,0.762,5.6,33.6
0.974,0.764,5.6,33.6
0.972,0.764,5.4,33.6
0.972,0.766,5,33.6
0.97,0.766,5,33.5
0.968,0.762,5,33.3
0.97,0.75,5.3,33.2
0.97,0.73,5.6,33
0.97,0.712,5.9,33
0.97,0.7,5.9,33
0.97,0.7,5.6,33.3
0.972,0.706,5.4,33.5
0.972,0.716,5.3,33.5
0.97,0.724,5.1,33.5
0.97,0.726,5,33.5
0.97,0.726,5.1,33.3
0.97,0.726,5.3,33.2
0.97,0.726,5.4,33.3
0.97,0.726,5.6,33.3
0.972,0.726,5.8,33.5
0.972,0.73,5.6,33.5
0.97,0.738,5.4,33.6
0.972,0.74,5.3,33.6
0.972,0.742,5.1,33.6
0.97,0.744,5.1,33.6
0.97,0.744,5.1,33.6
0.97,0.744,5.1,33.6
0.97,0.744,5.1,33.5
0.97,0.742,5.1,33.5
0.97,0.736,5.6,33.5
0.97,0.736,5.6,33.5
0.97,0.734,5.6,33.5
0.97,0.734,5.4,33.5
0.97,0.734,5.4,33.5
0.97,0.73,5.3,33.5
0.97,0.726,5.1,33.5
0.968,0.72,5.1,33.5
0.97,0.712,5.1,33.5
0.968,0.71,5.4,33.5
0.97,0.71,5.6,33.5
0.97,0.712,5.6,33.5
0.97,0.712,5.6,33.6
0.97,0.712,5.4,33.6
0.968,0.712,5.4,33.6
0.968,0.712,5.4,33.5
0.968,0.71,5.3,33.5
0.968,0.708,5.1,33.5
0.972,0.702,5.3,33.5
0.972,0.7,5.6,33.3
0.972,0.7,5.8,33.3
0.972,0.7,5.9,33.3
0.972,0.7,5.8,33.5
0.97,0.706,5.4,33.6
0.97,0.712,5.3,33.6
0.97,0.714,5.1,33.6
0.97,0.716,5,33.6
0.97,0.716,5.3,33.6
0.97,0.708,5.4,33.3
0.972,0.7,5.8,33.3
0.974,0.7,5.8,33.5
0.974,0.7,5.9,33.5
0.972,0.704,5.6,33.6
0.972,0.718,5.3,33.8
0.972,0.726,5.1,33.8
0.972,0.734,5,33.8
0.97,0.736,5,33.6
0.97,0.738,5.1,33.6
0.972,0.726,5.4,33.5
0.97,0.708,5.6,33.3
0.972,0.7,5.8,33.3
0.974,0.7,5.9,33.3
0.972,0.7,5.8,33.5
0.974,0.706,5.4,33.6
0.972,0.718,5.3,33.8
0.972,0.73,5.1,33.8
0.972,0.738,5,33.8
0.97,0.74,5,33.6
0.968,0.738,5.1,33.6
0.968,0.73,5.3,33.5
0.968,0.722,5.4,33.5
0.968,0.716,5.6,33.6
0.972,0.714,5.8,33.6
0.972,0.716,5.8,33.8
0.972,0.724,5.8,33.8
0.974,0.736,5.4,33.8
0.974,0.746,5.3,33.8
0.972,0.758,5,33.8
0.972,0.766,4.8,33.8
0.976,0.774,4.6,33.8
0.972,0.78,4.8,33.8
0.97,0.778,5.3,33.8
0.97,0.768,5.6,33.8
0.97,0.76,5.6,33.8
0.97,0.754,5.6,33.8
0.97,0.744,5.6,33.8
0.97,0.74,5.8,33.8
0.97,0.734,5.6,33.8
0.97,0.73,5.4,33.8
0.968,0.724,5.4,33.8
0.968,0.718,5.4,33.8
0.97,0.714,5.4,33.8
0.97,0.712,5.4,33.8
0.97,0.712,5.6,33.8
0.97,0.714,5.8,33.8
0.972,0.716,5.8,33.8
0.974,0.72,5.6,33.8
0.974,0.732,5.3,34
0.974,0.744,5.1,34
0.974,0.752,5.1,34
0.974,0.76,5.1,34
0.974,0.77,5.1,34
0.974,0.776,5,34
0.974,0.776,5.1,33.8
0.972,0.776,5.1,33.8
0.972,0.778,5.3,34
0.972,0.782,5.4,34.1
0.974,0.79,5.4,34.1
0.974,0.794,5.3,34.1
0.976,0.794,5.3,34.1
0.974,0.794,5.1,34
0.972,0.794,5,34
0.974,0.794,5,34
0.976,0.796,5,34
0.974,0.796,5,34
0.976,0.796,5.1,34
0.972,0.796,5.3,34
0.972,0.796,5.4,34.1
0.974,0.796,5.4,34.1
0.972,0.796,5.4,34.1
0.974,0.796,5.3,34.1
0.974,0.796,5.3,34.1
0.974,0.796,5.3,34.1
0.974,0.796,5.3,34.1
0.974,0.796,5.3,34.1
0.974,0.796,5.1,34.1
0.974,0.796,5.3,34.1
0.974,0.796,5.3,34.1
0.972,0.796,5.4,34.1
0.972,0.796,5.4,34.1
0.976,0.796,5.6,34.3
0.974,0.798,5.4,34.3
0.974,0.798,5.3,34.1
0.974,0.798,5.3,34.3
0.974,0.798,5.3,34.3
0.974,0.798,5.1,34.3
0.974,0.794,5.3,34.3
0.972,0.796,5.4,34.3
0.976,0.796,5.4,34.3
0.972,0.796,5.4,34.3
0.972,0.796,5.4,34.3
0.972,0.796,5.4,34.3
0.974,0.796,5.4,34.3
0.972,0.796,5.3,34.3
0.974,0.796,5.3,34.1
0.974,0.796,5.1,34.1
0.974,0.796,5,34.1
0.974,0.796,5.1,34.1
0.972,0.796,5.3,34.1
0.972,0.796,5.4,34.1
0.974,0.796,5.4,34.3
0.974,0.796,5.4,34.3
0.974,0.796,5.3,34.3
0.974,0.796,5.3,34.3
0.976,0.796,5.3,34.3
0.974,0.796,5.3,34.3
0.974,0.796,5.1,34.1
0.974,0.796,5.3,34.3
0.974,0.796,5.3,34.3
0.972,0.796,5.4,34.3
